name,poblacion,2010P,2011P,2012P,2013P,2014P,2015P,2016P,2017P,2018P
AntonioNarino,115328,114324,113235,112137,111112,110239,109603,109277,109254,109199
BarriosUnidos,239668,243416,247049,250574,254001,257353,260646,263883,267106,270280
Bosa,583338,600137,616839,633725,651084,669227,688455,709039,731047,753496
Chapinero,124648,125249,125832,126351,126764,126949,126956,126951,126591,126192
CiudadBolivar,623352,636794,650367,664047,677819,691693,705663,719700,733859,748012
Engativa,832835,839190,845337,851270,856996,862557,867976,873243,878434,883319
Fontibon,337176,346241,355414,364709,374142,383742,393533,403519,413734,424038
Kennedy,1030902,1052725,1075024,1097601,1120274,1142901,1165318,1187315,1208980,1230539
LaCandelaria,22578,22650,22726,22791,22828,22824,22764,22633,22438,22243
LosMartires,95344,95341,95287,95177,95007,94779,94487,94130,93716,93248
PuenteAranda,244319,241912,239441,236877,234191,231368,228388,225220,221906,218555
RafaelUribeUribe,369403,367376,365353,363284,361125,358845,356408,353761,350944,348023
SanCristobal,400991,400491,400184,399915,399537,398918,397919,396383,394358,392220
SantaFe,105997,104816,103535,102175,100768,99340,97920,96534,95201,93857
Suba,1039013,1068188,1097642,1127402,1157514,1188071,1219135,1250734,1282978,1315509
Sumapaz,6693,6814,6910,6990,7063,7139,7224,7330,7457,7584
Teusaquillo,140148,140539,140728,140743,140755,140766,140772,140767,140473,140135
Tunjuelito,184517,185784,187191,188537,189633,190289,190318,189522,187971,186383
Usaquen,445955,451085,455991,460543,464619,468115,470922,472908,474186,475275
Usme,317392,320710,323719,326497,329134,331730,334376,337152,340101,342940
